,n,const,sum,prod,simple_poly,horner_poly,bubble_sort,quicksort,timsort,matrix_dot
36,37.0,5.7220458984375e-07,1.8024444580078124e-05,7.677078247070313e-06,0.00011620521545410156,9.57489013671875e-05,0.0004608631134033203,1.506805419921875e-05,1.811981201171875e-06,3.2901763916015625e-05
37,38.0,6.67572021484375e-07,1.4257431030273437e-05,6.103515625e-06,0.00010666847229003906,7.224082946777344e-05,0.0003952503204345703,1.1920928955078125e-05,1.5735626220703124e-06,1.9550323486328125e-05
38,39.0,2.86102294921875e-07,9.5367431640625e-06,5.292892456054687e-06,9.374618530273437e-05,7.2479248046875e-05,0.0004146575927734375,8.296966552734374e-06,1.3828277587890625e-06,1.2826919555664062e-05
39,40.0,4.291534423828125e-07,9.107589721679688e-06,5.054473876953125e-06,9.531974792480469e-05,7.619857788085938e-05,0.0004253387451171875,7.43865966796875e-06,1.2874603271484376e-06,1.4638900756835937e-05
40,41.0,2.86102294921875e-07,1.0156631469726563e-05,5.388259887695313e-06,0.00010037422180175781,7.681846618652343e-05,0.00048365592956542967,8.916854858398437e-06,1.71661376953125e-06,1.6260147094726563e-05
41,42.0,3.814697265625e-07,9.679794311523438e-06,5.435943603515625e-06,0.00010390281677246094,7.948875427246093e-05,0.00043859481811523435,7.3909759521484375e-06,1.4781951904296875e-06,1.5306472778320313e-05
42,43.0,3.337860107421875e-07,9.298324584960938e-06,5.245208740234375e-06,0.0001026153564453125,7.9345703125e-05,0.0004925251007080079,7.534027099609375e-06,1.430511474609375e-06,1.4019012451171874e-05
43,44.0,4.291534423828125e-07,9.012222290039062e-06,5.054473876953125e-06,0.00010471343994140625,8.382797241210938e-05,0.0004942893981933593,7.3909759521484375e-06,1.430511474609375e-06,1.5544891357421876e-05
44,45.0,5.245208740234375e-07,9.250640869140624e-06,5.197525024414063e-06,0.00011038780212402344,8.683204650878906e-05,0.0005703449249267578,8.20159912109375e-06,1.52587890625e-06,1.6021728515625e-05
45,46.0,2.86102294921875e-07,9.584426879882813e-06,5.292892456054687e-06,0.00011115074157714843,8.540153503417968e-05,0.0005722999572753906,9.202957153320313e-06,1.52587890625e-06,1.7547607421875e-05
46,47.0,2.86102294921875e-07,1.0251998901367188e-05,5.388259887695313e-06,0.00011563301086425781,9.326934814453125e-05,0.0005459308624267579,8.058547973632812e-06,1.52587890625e-06,1.654624938964844e-05
47,48.0,2.86102294921875e-07,9.72747802734375e-06,5.102157592773437e-06,0.00011630058288574219,8.854866027832031e-05,0.0005826473236083985,7.486343383789062e-06,1.5735626220703124e-06,1.6117095947265624e-05
48,49.0,2.86102294921875e-07,9.393692016601562e-06,5.102157592773437e-06,0.000119781494140625,9.059906005859375e-05,0.0006299018859863281,7.62939453125e-06,1.4781951904296875e-06,1.773834228515625e-05
49,50.0,3.337860107421875e-07,9.918212890625e-06,5.14984130859375e-06,0.00012111663818359375,9.288787841796876e-05,0.0006796836853027344,7.677078247070313e-06,1.52587890625e-06,1.7023086547851564e-05
50,51.0,2.86102294921875e-07,1.0061264038085938e-05,5.292892456054687e-06,0.00012431144714355468,9.508132934570313e-05,0.0007040500640869141,9.632110595703125e-06,2.1457672119140625e-06,1.9025802612304687e-05
51,52.0,3.814697265625e-07,9.775161743164062e-06,5.197525024414063e-06,0.00012979507446289062,9.660720825195312e-05,0.0006901741027832032,7.677078247070313e-06,1.7642974853515626e-06,1.7547607421875e-05
52,53.0,2.384185791015625e-07,9.5367431640625e-06,5.340576171875e-06,0.00012879371643066407,9.8419189453125e-05,0.0007478713989257813,7.963180541992187e-06,1.6689300537109375e-06,1.969337463378906e-05
53,54.0,2.384185791015625e-07,9.965896606445312e-06,5.388259887695313e-06,0.00013403892517089845,0.00010142326354980468,0.0007224559783935546,7.867813110351562e-06,1.7642974853515626e-06,1.888275146484375e-05
54,55.0,8.58306884765625e-07,3.180503845214844e-05,1.1301040649414062e-05,0.00021343231201171876,0.00013566017150878906,0.0008348941802978516,2.322196960449219e-05,2.86102294921875e-06,0.0005467891693115235
55,56.0,3.337860107421875e-07,1.1157989501953124e-05,5.674362182617188e-06,0.0001377582550048828,0.00010547637939453124,0.0007474422454833984,9.250640869140624e-06,1.811981201171875e-06,2.2363662719726562e-05
56,57.0,4.291534423828125e-07,1.5115737915039062e-05,7.295608520507813e-06,0.00018396377563476563,0.00014495849609375,0.0012369155883789062,2.4938583374023436e-05,3.1948089599609376e-06,4.992485046386719e-05
57,58.0,7.152557373046875e-07,1.9073486328125e-05,7.295608520507813e-06,0.0001560211181640625,0.00012087821960449219,0.0009336471557617188,1.5497207641601562e-05,2.193450927734375e-06,3.6096572875976564e-05
58,59.0,4.76837158203125e-07,1.683235168457031e-05,9.441375732421875e-06,0.0001521587371826172,0.00014314651489257812,0.0010195732116699218,1.583099365234375e-05,2.5272369384765624e-06,3.01361083984375e-05
59,60.0,5.245208740234375e-07,1.4734268188476562e-05,6.4849853515625e-06,0.00015106201171875,0.00011205673217773438,0.0009096622467041016,1.2636184692382812e-05,1.9550323486328123e-06,2.9277801513671874e-05
60,61.0,3.337860107421875e-07,1.0824203491210937e-05,5.4836273193359375e-06,0.00014939308166503907,0.00011649131774902344,0.0009130477905273437,9.5367431640625e-06,1.9073486328125e-06,2.6798248291015626e-05
61,62.0,4.291534423828125e-07,1.2063980102539063e-05,6.67572021484375e-06,0.00017495155334472655,0.00011544227600097656,0.0011574745178222657,1.5687942504882812e-05,2.384185791015625e-06,3.151893615722656e-05
62,63.0,4.76837158203125e-07,1.0204315185546874e-05,5.4836273193359375e-06,0.00015163421630859375,0.000115966796875,0.0010406494140625,8.535385131835937e-06,1.9073486328125e-06,2.689361572265625e-05
